Event,Date,Infrastrucure,Amount
USAID pledge $5 M to support philippines infrastructure project,2023,Infrastrucure," $5,000,000.00 "
U.S invest $100M on upgrades to Philippine military facilties,2023,Infrastrucure," $100,000,000.00 "
U.S to invest $25M under EDCA in a runway rehabilitation project at Basa Air Base,2023,Infrastrucure," $25,000,000.00 "
U.S to invest $11.4M under EDCA towards Fort Magsaysay,2023,Infrastrucure," $114,000,000.00 "
U.S to invest $1.8M under EDACA towards the Antonio Bautista Air Base,2023,Infrastrucure," $1,800,000.00 "
U.S to invest $2.7M under EDCA towards the Mactan-Benito Ebuen Air Base,2023,Infrastrucure," $2,700,000.00 "
U.S to invest $ $3.7 under EDCA towards the Lumbia Air Base,2023,Infrastrucure," $3,700,000.00 "
https://us-philippines-investment.csis.org,,,
